budget,context,cost_form,Q,Q0
3e+20,131072,exponential,0.7563884813494264,0.6219326581278445
1e+20,2048,exponential,0.6219326581278446,0.6219326581278445
3e+20,32768,power,0.6219326581278445,0.6219326581278445
3e+19,4096,log_asymptotic,0.6219326581278445,0.6219326581278445
3e+19,8192,log_asymptotic,0.6219326581278445,0.6219326581278445
3e+19,131072,power,0.6219326581278446,0.6219326581278445
3e+23,131072,log_asymptotic,1.0,0.6219326581278445
3e+23,2048,exponential,1.0,0.6219326581278445
1e+21,2048,log_asymptotic,0.9999999999999997,0.6219326581278445
1e+21,131072,log_asymptotic,1.0,0.6219326581278445
3e+21,4096,exponential,0.8728335599213297,0.6219326581278445
1.0000000000000001e+23,131072,power,1.0,0.6219326581278445
1e+19,2048,exponential,0.6219326581278445,0.6219326581278445
1e+20,32768,log_asymptotic,0.6219326581278449,0.6219326581278445
3e+21,2048,power,0.8412080476383842,0.6219326581278445
1e+22,32768,log_asymptotic,0.9999999999999999,0.6219326581278445
1e+20,4096,power,0.6219326581278448,0.6219326581278445
1e+22,131072,log_asymptotic,0.9999999999999998,0.6219326581278445
3e+19,2048,power,0.6219326581278453,0.6219326581278445
1e+19,8192,log_asymptotic,0.6219326581286946,0.6219326581278445
3e+20,8192,log_asymptotic,1.0,0.6219326581278445
3e+20,4096,log_asymptotic,0.9999999999999941,0.6219326581278445
3e+23,8192,exponential,0.9999999999999998,0.6219326581278445
3e+21,32768,log_asymptotic,1.0,0.6219326581278445
1e+21,131072,power,0.8275251341923686,0.6219326581278445
1e+24,4096,log_asymptotic,1.0,0.6219326581278445
3e+23,4096,log_asymptotic,1.0,0.6219326581278445
1e+21,8192,power,0.6933593474050956,0.6219326581278445
3e+22,131072,log_asymptotic,0.9999999999999996,0.6219326581278445
1.0000000000000001e+23,8192,exponential,1.0,0.6219326581278445
3e+23,8192,log_asymptotic,1.0,0.6219326581278445
1e+22,32768,exponential,1.0,0.6219326581278445
1e+19,2048,power,0.6219326581278445,0.6219326581278445
1e+21,32768,log_asymptotic,1.0,0.6219326581278445
3e+19,8192,power,0.6219326581278445,0.6219326581278445
1.0000000000000001e+23,32768,log_asymptotic,0.9999999999999999,0.6219326581278445
3e+22,32768,exponential,1.0,0.6219326581278445
1e+24,131072,log_asymptotic,0.9999999999999999,0.6219326581278445
1e+22,2048,log_asymptotic,1.0,0.6219326581278445
1e+19,8192,exponential,0.6219326581278463,0.6219326581278445
3e+20,32768,exponential,0.6971490310045447,0.6219326581278445
1.0000000000000001e+23,131072,log_asymptotic,0.9999999999999998,0.6219326581278445
1e+19,4096,power,0.6219326581278445,0.6219326581278445
1e+19,32768,power,0.621932658127853,0.6219326581278445
1e+20,32768,power,0.6219326581278447,0.6219326581278445
1e+19,131072,exponential,0.6219326581278445,0.6219326581278445
3e+21,2048,log_asymptotic,1.0,0.6219326581278445
3e+23,131072,exponential,0.9999999999999988,0.6219326581278445
1e+24,2048,exponential,0.9999999999999997,0.6219326581278445
1e+24,32768,power,1.0,0.6219326581278445
1.0000000000000001e+23,4096,log_asymptotic,1.0,0.6219326581278445
3e+20,2048,exponential,0.6513291887471367,0.6219326581278445
3e+23,4096,exponential,0.9999999999999992,0.6219326581278445
3e+22,8192,exponential,1.0,0.6219326581278445
1e+19,32768,exponential,0.6219326581278445,0.6219326581278445
3e+20,131072,power,0.6630357895168759,0.6219326581278445
1e+19,8192,power,0.6219326581278511,0.6219326581278445
3e+20,2048,log_asymptotic,0.9999999999999958,0.6219326581278445
3e+22,4096,log_asymptotic,1.0,0.6219326581278445
3e+22,8192,log_asymptotic,1.0,0.6219326581278445
3e+23,32768,exponential,0.9999999999999999,0.6219326581278445
3e+19,131072,exponential,0.6219326581278445,0.6219326581278445
1e+24,32768,log_asymptotic,1.0,0.6219326581278445
1e+21,4096,log_asymptotic,1.0,0.6219326581278445
1e+22,2048,power,0.9999999999999997,0.6219326581278445
3e+20,32768,log_asymptotic,1.0,0.6219326581278445
1e+20,131072,power,0.6219326581278445,0.6219326581278445
1e+20,8192,log_asymptotic,0.6219326581278446,0.6219326581278445
1e+22,32768,power,1.0,0.6219326581278445
1e+20,32768,exponential,0.6219326581278446,0.6219326581278445
1e+24,2048,log_asymptotic,1.0,0.6219326581278445
1e+22,4096,log_asymptotic,1.0,0.6219326581278445
1e+20,8192,exponential,0.6219326581278446,0.6219326581278445
1e+19,32768,log_asymptotic,0.6219326581279915,0.6219326581278445
1e+24,8192,log_asymptotic,1.0,0.6219326581278445
