group_id,coverage_state,publication_blocked,candidate_id,includes_baseline,maximum_regret_loss,maximum_relative_regret,minimax_loss_candidate,minimax_relative_candidate,analysis_purpose,source_version,state,expected_scenario_modes,available_scenario_modes,unique_candidates,common_feasible_candidates,rejected_candidates,baseline_in_common_set,publication_blocked_coverage,minimax_scope,analysis_purpose_coverage,source_version_coverage,budget,context,form,Q0,anchor_count,anchor_sha256,normalize_cost_endpoint,quality_cost_scale,eta_attention,search_protocol.starts,search_protocol.maxiter,search_protocol.seed,search_protocol.solver,search_protocol.max_model_evaluations_per_start
851b55da09598357f8f5,computed_finite_candidate_set,False,90fd254fe638c0eb428c,False,0,0,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
f0b331eca0a4f19167ef,computed_finite_candidate_set,False,59786173fea9227cf10d,False,2.3325785747374539e-11,1.0234038150477251e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,12,12,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
f0b331eca0a4f19167ef,computed_finite_candidate_set,False,a9da575bf70658ea3848,False,2.3681057115254589e-11,1.038991117323559e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,12,12,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
f0b331eca0a4f19167ef,computed_finite_candidate_set,False,ca105797e4316946cd6e,False,0,0,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,12,12,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
f0b331eca0a4f19167ef,computed_finite_candidate_set,False,58e02f24998e526a6342,False,2.368549800735309e-11,1.0391859586020069e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,12,12,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
f0b331eca0a4f19167ef,computed_finite_candidate_set,False,26de48daa60aec4e7ff4,False,2.3567370277532973e-11,1.0340031805952922e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,12,12,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
f0b331eca0a4f19167ef,computed_finite_candidate_set,False,ecf61aab518a8c2b6667,False,2.3395507753320999e-11,1.0264628231193575e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,12,12,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
f0b331eca0a4f19167ef,computed_finite_candidate_set,False,4332afe8091406b8323c,False,2.3779200830631453e-11,1.0432971095772581e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,12,12,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
bf97fbfbb03cd314977f,computed_finite_candidate_set,False,99a4532d317faa233723,False,0,0,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
bf97fbfbb03cd314977f,computed_finite_candidate_set,False,a9da575bf70658ea3848,False,2.5046631435543532e-13,1.0989048104349992e-13,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
